file_offset,va,pointer_matches,text
0x4e5809,0x8e6409,,EditEnemymovementdata1
0x4e5bb3,0x8e67b3,,Editenemyphysicaldata1
0x4e5bec,0x8e67ec,,EditEnemyresistancedata1
0x4e5c10,0x8e6810,,EditEnemyattackdata1
0x4e5c30,0x8e6830,,EditEnemymovementdata1
0x4fc050,0x8fcc50,,map_forest01c.rel
0x4fc070,0x8fcc70,,map_forest02c.rel
0x4fc090,0x8fcc90,,map_cave01_00c.rel
0x4fc0b0,0x8fccb0,,map_cave01_01c.rel
0x4fc0d0,0x8fccd0,,map_cave01_02c.rel
0x4fc0f0,0x8fccf0,,map_cave01_03c.rel
0x4fc110,0x8fcd10,,map_cave01_04c.rel
0x4fc130,0x8fcd30,,map_cave01_05c.rel
0x4fc150,0x8fcd50,,map_cave02_00c.rel
0x4fc170,0x8fcd70,,map_cave02_01c.rel
0x4fc190,0x8fcd90,,map_cave02_02c.rel
0x4fc1b0,0x8fcdb0,,map_cave02_03c.rel
0x4fc1d0,0x8fcdd0,,map_cave02_04c.rel
0x4fc1f0,0x8fcdf0,,map_cave02_05c.rel
0x4fc210,0x8fce10,,map_cave03_00c.rel
0x4fc230,0x8fce30,,map_cave03_01c.rel
0x4fc250,0x8fce50,,map_cave03_02c.rel
0x4fc270,0x8fce70,,map_cave03_03c.rel
0x4fc290,0x8fce90,,map_cave03_04c.rel
0x4fc2b0,0x8fceb0,,map_cave03_05c.rel
0x4fc2d0,0x8fced0,,map_machine01_00c.rel
0x4fc2f4,0x8fcef4,,map_machine01_01c.rel
0x4fc318,0x8fcf18,,map_machine01_02c.rel
0x4fc33c,0x8fcf3c,,map_machine01_03c.rel
0x4fc360,0x8fcf60,,map_machine01_04c.rel
0x4fc384,0x8fcf84,,map_machine01_05c.rel
0x4fc3a8,0x8fcfa8,,map_machine02_00c.rel
0x4fc3cc,0x8fcfcc,,map_machine02_01c.rel
0x4fc3f0,0x8fcff0,,map_machine02_02c.rel
0x4fc414,0x8fd014,,map_machine02_03c.rel
0x4fc438,0x8fd038,,map_machine02_04c.rel
0x4fc45c,0x8fd05c,,map_machine02_05c.rel
0x4fc480,0x8fd080,,map_ancient01_00c.rel
0x4fc4a4,0x8fd0a4,,map_ancient01_01c.rel
0x4fc4c8,0x8fd0c8,,map_ancient01_02c.rel
0x4fc4ec,0x8fd0ec,,map_ancient01_03c.rel
0x4fc510,0x8fd110,,map_ancient01_04c.rel
0x4fc534,0x8fd134,,map_ancient02_00c.rel
0x4fc558,0x8fd158,,map_ancient02_01c.rel
0x4fc57c,0x8fd17c,,map_ancient02_02c.rel
0x4fc5a0,0x8fd1a0,,map_ancient02_03c.rel
0x4fc5c4,0x8fd1c4,,map_ancient02_04c.rel
0x4fc5e8,0x8fd1e8,,map_ancient03_00c.rel
0x4fc60c,0x8fd20c,,map_ancient03_01c.rel
0x4fc630,0x8fd230,,map_ancient03_02c.rel
0x4fc654,0x8fd254,,map_ancient03_03c.rel
0x4fc678,0x8fd278,,map_ancient03_04c.rel
0x4fcf3c,0x8fdb3c,,map_forest01.xvm
0x4fcf5c,0x8fdb5c,,map_forest02.xvm
0x4fcf7c,0x8fdb7c,,map_cave01.xvm
0x4fcf98,0x8fdb98,,map_cave02.xvm
0x4fcfb4,0x8fdbb4,,map_cave03.xvm
0x4fcfd0,0x8fdbd0,,map_machine01.xvm
0x4fcff0,0x8fdbf0,,map_machine02.xvm
0x4fd010,0x8fdc10,,map_ancient01.xvm
0x4fd030,0x8fdc30,,map_ancient02.xvm
0x4fd050,0x8fdc50,,map_ancient03.xvm
0x50ed98,0x90f998,0x90f847,images.ppk
0x526650,0x927250,0x9270fb;0x92713c,_qedit.exe
0x52880e,0x92940e,,System.Bindings.EvalProtocol
0x5288cc,0x9294cc,,System.Bindings.EvalProtocol
0x528914,0x929514,,System.Bindings.EvalProtocol
0x52895a,0x92955a,,System.Bindings.EvalProtocol
0x5289a1,0x9295a1,,System.Bindings.EvalProtocol
0x5289e6,0x9295e6,,System.Bindings.EvalProtocol
0x528a2e,0x92962e,,System.Bindings.EvalProtocol
0x528a78,0x929678,,System.Bindings.EvalProtocol
0x528ac4,0x9296c4,,System.Bindings.EvalProtocol
0x528b16,0x929716,,System.Bindings.EvalProtocol
0x528b5e,0x92975e,,System.Bindings.EvalProtocol
0x528ba6,0x9297a6,,System.Bindings.EvalProtocol
0x528bea,0x9297ea,,System.Bindings.EvalProtocol
0x528c35,0x929835,,System.Bindings.EvalProtocol
0x528c84,0x929884,,System.Bindings.EvalProtocol
0x528cd1,0x9298d1,,System.Bindings.EvalProtocol
0x528d29,0x929929,,System.Bindings.EvalProtocol
0x528d72,0x929972,,System.Bindings.EvalProtocol
0x528db6,0x9299b6,,System.Bindings.EvalProtocol
0x528dfc,0x9299fc,,System.Bindings.EvalProtocol
0x528e48,0x929a48,,System.Bindings.EvalProtocol
0x528e98,0x929a98,,System.Bindings.EvalProtocol
0x528ee8,0x929ae8,,System.Bindings.EvalProtocol
0x528f35,0x929b35,,System.Bindings.EvalProtocol
0x528fa7,0x929ba7,,System.Bindings.EvalProtocol
0x528ff5,0x929bf5,,System.Bindings.EvalProtocol
0x5290c0,0x929cc0,,System.Bindings.EvalProtocol
0x52910c,0x929d0c,,System.Bindings.EvalProtocol
0x529203,0x929e03,,System.Bindings.EvalProtocol
0x52925c,0x929e5c,,System.Bindings.EvalProtocol
0x5292ab,0x929eab,,System.Bindings.EvalProtocol
0x5292f9,0x929ef9,,System.Bindings.EvalProtocol
0x529532,0x92a132,,System.Bindings.EvalProtocol
0x529591,0x92a191,,System.Bindings.EvalProtocol
0x5295ed,0x92a1ed,,System.Bindings.EvalProtocol
0x52965e,0x92a25e,,System.Bindings.EvalProtocol
0x529c95,0x92a895,,System.Bindings.EvalProtocol
0x529fe6,0x92abe6,,System.Bindings.EvalProtocol
0x52a04d,0x92ac4d,,+TArray<System.Bindings.EvalProtocol.IValue>
0x52a09d,0x92ac9d,,2TArray<System.Bindings.EvalProtocol.ISubscription>
0x52a15e,0x92ad5e,0x92ad10,7TEnumerator<System.Bindings.EvalProtocol.ISubscription>(
0x52a1c5,0x92adc5,,7TEnumerator<System.Bindings.EvalProtocol.ISubscription>H
0x52a2d2,0x92aed2,0x92ae74,7TEnumerable<System.Bindings.EvalProtocol.ISubscription>'
0x52a395,0x92af95,,7TEnumerable<System.Bindings.EvalProtocol.ISubscription>
0x52a401,0x92b001,,:TList<System.Bindings.EvalProtocol.ISubscription>.arrayofT
0x52a475,0x92b075,,5IComparer<System.Bindings.EvalProtocol.ISubscription>
0x52a4e5,0x92b0e5,,BTCollectionNotifyEvent<System.Bindings.EvalProtocol.ISubscription>
0x52a5b5,0x92b1b5,,;TList<System.Bindings.EvalProtocol.ISubscription>.ParrayofT
0x52a5fd,0x92b1fd,,7IEnumerable<System.Bindings.EvalProtocol.ISubscription>
0x52a65d,0x92b25d,,<TList<System.Bindings.EvalProtocol.ISubscription>.TEmptyFunc
0x52a775,0x92b375,0x92b2f4,=TList<System.Bindings.EvalProtocol.ISubscription>.TEnumerator5
0x52a815,0x92b415,,"=TList<System.Bindings.EvalProtocol.ISubscription>.TEnumerator,"
0x52ab65,0x92b765,0x92b4cc,1TList<System.Bindings.EvalProtocol.ISubscription>&
0x52b729,0x92c329,,1TList<System.Bindings.EvalProtocol.ISubscription>
0x52ffd1,0x930bd1,,C.TList`1.Pack[1]$0$Intf<System.Bindings.EvalProtocol.ISubscription>
0x53011e,0x930d1e,0x930cc8,C@TList`1.Pack[1]$ActRec<System.Bindings.EvalProtocol.ISubscription>
0x530169,0x930d69,,C@TList`1.Pack[1]$ActRec<System.Bindings.EvalProtocol.ISubscription>
0x5301e1,0x930de1,,C.TList`1.Pack[0]$0$Intf<System.Bindings.EvalProtocol.ISubscription>
0x530344,0x930f44,0x930ed8,C@TList`1.Pack[0]$ActRec<System.Bindings.EvalProtocol.ISubscription>
0x53038d,0x930f8d,,C@TList`1.Pack[0]$ActRec<System.Bindings.EvalProtocol.ISubscription>
0x530c8f,0x93188f,,System.Bindings.Search
0x530cb5,0x9318b5,,BTBindingSearch.TConstProc<System.Bindings.EvalProtocol.IArguments>
0x530d0e,0x93190e,,System.Bindings.Search
0x530d31,0x931931,,DTBindingSearch.TConstProc<System.Bindings.EvalProtocol.IPlaceholder>
0x530d8c,0x93198c,,System.Bindings.Search
0x530dad,0x9319ad,,JTBindingSearch.TConstProc<System.Bindings.EvalProtocol.IRecordPlaceholder>
0x530e0e,0x931a0e,,System.Bindings.Search
0x531a1d,0x93261d,,System.Bindings.Search
0x531c82,0x932882,,System.Bindings.Search
0x531dc5,0x9329c5,,System.Bindings.Search
